#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1174: Fairbanks F.O., AK
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Minimum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Average  Value       None           Day                N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fairbanks F.o. (1174) 
# Alaska  SNOTEL Site - 450 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Feb 21, 2019 7:57:21 PM GMT-08:00
#
Water Year,Day,Oct,Oct,Oct,Nov,Nov,Nov,Dec,Dec,Dec,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun,Jul,Jul,Jul,Aug,Aug,Aug,Sep,Sep,Sep
,,Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF)
1984,01,,,,,,,16,21,19,0,3,1,-44,-13,-29,-9,10,1,25,39,32,27,36,32,32,68,50,50,81,68,,,,,,
1984,02,,,,,,,9,18,14,-2,3,1,-47,-4,-26,-11,19,3,32,43,37,28,45,32,48,68,57,46,70,57,,,,,,
1984,03,,,,,,,0,16,9,-13,1,-2,-13,0,-8,9,30,19,32,46,39,25,52,36,46,68,55,54,77,66,,,,,,
1984,04,,,,,,,-6,19,7,-18,0,-9,-27,-6,-17,3,41,23,28,46,37,28,52,34,46,72,59,48,57,54,,,,,,
1984,05,,,,,,,0,12,5,-9,1,-4,-26,-13,-18,23,34,30,23,37,32,25,50,41,39,68,50,48,61,52,,,,,,
1984,06,,,,,,,-9,7,-4,-9,5,0,-35,-9,-22,25,41,32,21,37,30,23,54,37,39,66,52,41,55,48,,,,,,
1984,07,,,,,,,-15,0,-8,-18,-8,-13,-29,-9,-20,23,34,30,19,41,30,25,55,41,41,66,54,36,57,48,,,,,,
1984,08,,,,,,,-26,-17,-22,-11,3,-4,-31,-15,-22,28,41,34,12,27,19,28,55,43,41,73,55,37,61,50,,,,,,
1984,09,,,,,,,-27,-24,-26,3,12,9,-29,-22,-26,27,43,34,10,25,18,27,41,34,45,66,55,48,64,55,,,,,,
1984,10,,,,,,,-26,-22,-24,7,27,16,-31,0,-15,18,34,27,12,34,23,28,37,32,41,70,55,45,68,55,,,,,,
1984,11,,,,,,,-26,-22,-24,28,32,30,-31,-15,-22,10,32,23,9,36,23,21,50,32,46,73,61,39,73,59,,,,,,
1984,12,,,,,,,-20,-13,-18,12,28,25,-29,-8,-18,1,39,23,28,41,34,27,57,45,48,61,54,39,75,59,,,,,,
1984,13,,,,,,,-31,-15,-22,9,27,16,-18,0,-9,14,32,23,19,34,28,32,55,45,46,68,55,45,68,54,,,,,,
1984,14,,,,,,,-33,-18,-26,19,23,19,-15,3,-6,14,32,21,28,41,34,32,64,46,45,68,54,50,70,59,,,,,,
1984,15,,,,,,,-29,-15,-22,3,25,10,-15,1,-8,5,32,21,23,39,32,28,59,43,50,57,54,45,68,59,,,,,,
1984,16,,,,,,,-27,7,-9,5,14,9,-8,7,1,3,28,14,10,27,21,30,72,52,43,72,61,48,70,59,,,,,,
1984,17,,,,,,,-6,9,1,0,12,9,-11,7,0,-8,25,9,0,27,14,36,63,55,43,75,61,50,63,57,,,,,,
1984,18,,,,,,,-11,7,-2,-18,-2,-9,-15,-9,-13,-13,25,9,1,36,19,39,72,57,48,79,63,39,55,50,,,,,,
1984,19,,,,,,,7,16,10,-26,-18,-22,-38,-22,-27,-8,30,16,14,50,32,32,66,52,45,73,61,46,55,50,,,,,,
1984,20,,,,,,,-6,12,3,-29,-24,-27,-38,-17,-27,0,32,19,21,54,39,45,68,54,45,75,63,48,52,50,,,,,,
1984,21,,,,3,23,14,-9,3,-2,-40,-27,-33,-26,-17,-20,10,23,18,23,37,32,37,68,50,48,77,64,46,55,52,,,,,,
1984,22,,,,0,16,9,-17,-6,-11,-44,-35,-40,-17,-6,-11,-4,14,5,12,34,27,37,64,48,43,79,59,50,70,61,,,,,,
1984,23,,,,-6,16,5,-18,5,-4,-47,-36,-42,-18,-8,-13,-8,21,7,10,43,30,37,59,48,45,70,61,48,77,63,,,,,,
1984,24,,,,-6,9,1,-15,9,-2,-49,-35,-42,-27,-15,-20,1,21,10,14,34,27,41,55,46,48,77,66,54,59,55,,,,,,
1984,25,,,,-6,7,1,-17,-9,-15,-42,-26,-33,-31,-9,-18,0,34,19,23,37,32,30,54,43,45,79,63,52,63,57,,,,,,
1984,26,,,,-6,5,0,-17,-8,-11,-47,-35,-42,-13,-8,-9,12,39,27,10,46,28,28,54,41,54,64,59,50,63,55,,,,,,
1984,27,,,,1,36,19,-22,-4,-13,-42,-15,-27,-20,0,-9,9,43,27,30,54,39,28,52,39,46,72,61,46,68,57,,,,,,
1984,28,,,,21,37,30,-2,10,3,-13,3,-6,-18,9,-6,19,39,30,25,61,45,28,50,37,48,72,57,52,55,54,,,,,,
1984,29,,,,9,32,21,5,10,9,-8,1,-4,-9,-8,1,21,36,28,27,59,43,32,55,43,45,72,59,52,68,59,,,,,,
1984,30,,,,7,25,14,3,10,7,-6,1,-2,,,,12,41,27,32,48,41,34,57,46,45,75,64,52,59,55,,,,,,
1984,31,,,,,,,0,3,1,-26,-4,-15,,,,25,52,37,,,,30,59,48,,,,,,,,,,,,
1985,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
