#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 948: Mt. Ryan, AK
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Minimum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Average  Value       None           Day                N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mt. Ryan (948) 
# Alaska  SNOTEL Site - 2800 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Feb 21, 2019 7:57:31 PM GMT-08:00
#
Water Year,Day,Oct,Oct,Oct,Nov,Nov,Nov,Dec,Dec,Dec,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun,Jul,Jul,Jul,Aug,Aug,Aug,Sep,Sep,Sep
,,Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF)
1981,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25,21
1981,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,01,12,27,19,3,7,5,7,14,10,-15,-6,-9,18,34,27,-6,16,5,-13,3,-6,18,32,25,,,,,,,,,,,,
1982,02,16,30,23,-6,3,0,10,12,10,-15,-4,-9,28,37,32,7,19,10,-11,14,3,16,36,27,,,,,,,,,,,,
1982,03,19,27,23,3,7,5,-4,3,0,-11,5,-4,23,36,30,0,10,7,1,21,10,16,30,21,,,,,,,,,,,,
1982,04,16,27,21,-9,-6,-8,1,10,5,-27,-13,-20,23,28,27,5,10,7,9,23,16,23,43,32,,,,,,,,,,,,
1982,05,12,25,18,-8,-6,-6,-11,-8,-9,-40,-26,-33,18,32,27,5,18,12,18,37,28,23,43,32,,,,,,,,,,,,
1982,06,12,21,18,1,14,7,-11,-4,-8,-40,-35,-36,19,25,21,9,12,10,5,30,18,28,46,36,,,,,,,,,,,,
1982,07,10,19,14,7,12,9,-8,5,0,-38,-31,-35,12,16,14,5,14,9,9,27,18,27,41,32,,,,,,,,,,,,
1982,08,12,19,16,10,19,12,1,9,5,-35,-22,-27,10,21,16,7,10,9,5,30,18,25,46,36,,,,,,,,,,,,
1982,09,10,21,16,19,28,25,5,9,7,-24,-6,-15,-9,5,-4,10,14,12,10,25,18,28,45,36,,,,,,,,,,,,
1982,10,5,21,14,-6,25,14,-9,0,-4,-17,-6,-11,-13,-9,-9,5,18,10,12,25,19,27,45,34,,,,,,,,,,,,
1982,11,10,23,18,-4,23,12,-6,-4,-4,-18,0,-9,-6,-6,-6,3,12,9,3,16,9,,,,,,,,,,,,,,,
1982,12,16,23,19,-11,19,5,-9,-6,-8,-18,-11,-15,-15,-6,-9,1,10,5,1,12,7,,,,,,,,,,,,,,,
1982,13,18,27,21,-27,12,-2,-11,7,-2,-17,-13,-15,-27,-24,-26,-4,9,3,0,12,5,,,,,,,,,,,,,,,
1982,14,19,27,23,7,10,9,-6,12,0,-15,3,-6,-27,-22,-24,-9,9,0,0,21,10,,,,,,,,,,,,,,,
1982,15,19,27,23,3,9,7,1,19,12,-31,-9,-18,-33,-26,-27,-13,10,-4,5,16,10,,,,,,,,,,,,,,,
1982,16,12,18,16,1,7,3,19,30,25,-31,-13,-18,-33,-26,-29,14,28,21,5,30,18,,,,,,,,,,,,,,,
1982,17,10,16,12,-4,1,0,27,32,30,-29,-6,-13,-31,-22,-27,12,30,21,9,32,18,,,,,,,,,,,,,,,
1982,18,10,19,14,-2,3,1,7,21,14,-15,-8,-11,-31,-20,-27,14,36,27,9,28,18,,,,,,,,,,,,,,,
1982,19,9,21,14,-4,0,-2,0,9,5,-18,-6,-13,-27,-22,-26,14,36,27,18,25,21,,,,,,,,,,,,,,,
1982,20,25,28,27,-6,3,0,-2,5,3,-29,-6,-11,-29,-24,-27,16,32,25,12,25,18,,,,,,,,,,,,,,,
1982,21,27,32,28,-8,-4,-6,9,12,10,-15,1,-6,-29,-15,-20,16,36,27,12,32,23,,,,,,,,,,,,,,,
1982,22,27,32,30,-15,-8,-11,0,12,3,-20,3,0,-20,-8,-15,7,23,14,19,34,25,,,,,,,,,,,,,,,
1982,23,27,32,30,-8,12,0,3,12,7,-11,1,-6,-17,0,-9,-4,21,9,19,37,30,,,,,,,,,,,,,,,
1982,24,21,27,25,-8,16,3,-2,7,1,-15,3,-9,-8,12,-2,-13,5,-4,23,45,34,,,,,,,,,,,,,,,
1982,25,14,21,19,0,19,10,-13,1,-6,-26,-9,-17,-4,5,1,-17,3,-8,23,36,30,,,,,,,,,,,,,,,
1982,26,3,12,9,12,19,14,-15,-11,-13,-22,-11,-18,-9,5,-2,-15,7,-4,27,43,34,,,,,,,,,,,,,,,
1982,27,3,12,9,10,19,14,-15,-11,-13,-6,3,0,-8,9,0,-17,5,-6,28,43,27,,,,,,,,,,,,,,,
1982,28,5,12,9,9,18,12,-26,-18,-22,-4,0,-2,0,10,-4,-17,5,-9,27,28,27,,,,,,,,,,,,,,,
1982,29,5,14,9,7,10,9,-18,-8,-13,-4,0,-2,,,,-18,5,-8,19,25,23,,,,,,,,,,,,,,,
1982,30,9,12,9,7,21,12,-18,-4,-11,-8,-6,-6,,,,-17,7,-6,16,36,27,,,,,,,,,,,,,,,
1982,31,3,9,5,,,,-15,-9,-11,-6,1,-2,,,,-13,3,-6,,,,,,,,,,,,,,,,,,
1983,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,46,36
1983,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,01,28,32,30,14,25,19,,,,,,,,,,-17,-4,-11,23,32,25,28,32,30,32,59,45,46,63,55,48,59,54,27,48,36
1984,02,25,27,27,21,28,25,,,,,,,,,,-4,28,12,21,28,23,30,46,37,46,55,52,48,59,52,54,57,55,36,50,43
1984,03,27,28,27,5,9,5,,,,,,,,,,19,37,28,23,32,25,25,45,34,32,59,45,48,57,50,45,46,46,30,50,39
1984,04,32,32,32,1,9,5,,,,,,,,,,23,32,28,19,32,23,30,41,36,30,55,43,45,50,48,43,46,45,32,34,32
1984,05,27,28,28,0,-11,-6,,,,,,,,,,19,30,25,9,27,18,32,45,36,39,54,46,41,43,43,41,52,46,27,28,28
1984,06,19,21,21,0,23,12,,,,,,,,,,21,28,25,12,30,19,28,50,37,32,57,45,41,43,43,32,64,45,39,50,45
1984,07,9,23,16,23,28,25,,,,,,,,,,18,27,21,12,25,19,27,52,37,37,59,48,37,46,41,34,50,41,36,59,45
1984,08,12,27,19,,,,,,,,,,,,,10,25,18,5,30,19,32,54,43,36,57,46,37,50,45,39,41,41,45,55,50
1984,09,30,32,32,,,,,,,,,,,,,7,19,10,1,12,7,28,37,32,45,59,52,45,52,48,37,43,41,37,54,46
1984,10,32,34,32,,,,,,,,,,,,,12,41,27,9,16,12,27,36,32,37,63,50,45,50,46,36,50,43,34,45,37
1984,11,32,32,32,,,,,,,,,,,,,16,32,25,18,27,23,19,45,32,39,52,45,43,54,48,27,54,39,36,50,43
1984,12,25,28,27,,,,,,,,,,,,,10,25,18,18,19,18,32,52,41,43,61,46,46,54,50,30,63,45,37,46,43
1984,13,16,32,25,,,,,,,,,,,,,7,21,12,16,30,23,34,52,43,41,59,46,50,54,52,32,46,37,32,48,41
1984,14,10,25,18,,,,,,,,,,,,,14,32,23,19,34,27,32,61,46,45,50,48,48,48,48,39,41,41,34,57,45
1984,15,7,19,12,,,,,,,,,,,,,0,16,9,21,30,27,36,64,50,45,55,50,45,50,48,39,61,50,36,39,37
1984,16,9,12,10,,,,,,,,,,21,23,21,-2,14,3,7,16,12,34,66,50,45,64,54,45,52,48,36,61,48,41,48,45
1984,17,7,12,9,,,,,,,,,,9,14,12,-6,12,1,9,19,14,39,64,52,46,61,52,46,52,50,43,59,52,30,48,39
1984,18,-2,1,0,,,,,,,,,,-15,-6,-9,-8,12,1,10,27,18,37,59,48,48,61,54,45,46,46,39,59,50,30,32,32
1984,19,-6,1,-2,,,,,,,,,,-24,-15,-18,1,27,18,32,39,36,34,66,50,50,64,55,43,46,45,41,57,50,28,34,30
