Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Adin Mtn	"301	"	California	SNOTEL	Modoc	6190	41.23583	-120.79192	"180200021403	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.9	163	185	171	185	100	132	140	8.2	91	4	32			11	9.7	10.5	9.7	0	19.8	2015	1993	35	
Agnew Pass	"AGP	"	California	Cooperator Snow Sensors	Madera	9450	37.724	-119.143	"180400060401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	21.48	19.15	1.3	55.2	1991	2017	26	
Agua Canyon	"907	"	Utah	SNOTEL	Kane	8900	37.52217	-112.27118	"160300020301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.1	168	209	154	179	100	117	124	4.9	75	7	19			6.6	5.3	7.21	6.2	1	18.8	2018	2005	25	
Aiken Lake	"4A30P	"	British Columbia	Cooperator Snow Sensors	"	"	3481	56.43333	-125.73333	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	8.44	8.5	0	14	2002	1992	29	
Albro Lake	"916	"	Montana	SNOTEL	Madison	8300	45.59723	-111.95902	"100200050701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.7	105	104	106	112	100	61	63	1.5	82	5	18			13	13.2	12.89	12.2	8.1	22.5	2005	1997	23	
Alexander Lake	"1267	"	Alaska	SNOTEL	Matanuska-Susitna	160	61.74967	-150.88967	"190205051106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.6			123	117	100	109	109	1.1	75	2	4	2nd Highest				6.16	6.5	4	7.9	2015	2016	5	
Alpha	"ALP	"	California	Cooperator Snow Sensors	El Dorado	7600	38.805	-120.215	"180201290204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	26.76	26.2	0	55.4	2015	1983	51	
Alpine Meadows	"908	"	Washington	SNOTEL	King	3500	47.77957	-121.69847	"171100100501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.3	70	64	69	68	100	43	39	-11.7	33	17	9			34.9	37.8	35.01	36	0	66.2	2015	2008	25	
American Creek	"1189	"	Alaska	SNOTEL	Southeast Fairbanks	1050	64.78969	-141.23376	"190705050504	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.9			97	98	100	75	78	-0.05	43	5	3					3	2.95	2.2	3.5	2018	2014	8	
Anchor River Divide	"1062	"	Alaska	SNOTEL	Kenai Peninsula	1653	59.85972	-151.315	"190203010701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.3	128	126	125	132	100	93	96	2.95	81	6	23			9.6	9.8	9.81	9.35	5.6	14.2	2015	"1987, 2012"	28	
Anchorage Hillside	"1070	"	Alaska	SNOTEL	Anchorage	2080	61.11483	-149.66683	"190204010601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.7	66	69	79	79	100	56	54	-1.55	31	10	5			8.7	8.3	7.21	7.25	3.4	16.7	2015	2012	14	
Aneroid Lake #2	"302	"	Oregon	SNOTEL	Wallowa	7400	45.21328	-117.19258	"170601050101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.5	80	78	84	85	100	53	55	-2.5	33	25	13			18.1	18.7	17.24	17	9.3	36	2005	1997	37	
Annie Springs	"1000	"	Oregon	SNOTEL	Klamath	6010	42.87007	-122.16518	"180102030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	28.9	92	92	103	105	100	71	71	1.5	56	9	11			31.4	31.3	28.16	27.4	12.1	49.2	2015	2006	19	
