Name,State,ID,Longitude,Latitude,geometry
Adin Mtn,California,301,-120.79191999999999,41.23583,POINT (-120.79192 41.23583)
Agnew Pass,California,AGP,-119.14299999999999,37.724000000000004,POINT (-119.143 37.724)
Agua Canyon,Utah,907,-112.27118,37.52217,POINT (-112.27118 37.52217)
Aiken Lake,British Columbia,4A30P,-125.73333000000001,56.433330000000005,POINT (-125.73333 56.43333000000001)
Albro Lake,Montana,916,-111.95902,45.597229999999996,POINT (-111.95902 45.59723)
Alexander Lake,Alaska,1267,-150.88967,61.749669999999995,POINT (-150.88967 61.74966999999999)
Alpha,California,ALP,-120.215,38.805,POINT (-120.215 38.805)
Alpine Meadows,Washington,908,-121.69847,47.77957,POINT (-121.69847 47.77957)
American Creek,Alaska,1189,-141.23376000000002,64.78969000000001,POINT (-141.23376 64.78969000000001)
Anchor River Divide,Alaska,1062,-151.315,59.859719999999996,POINT (-151.315 59.85972)
Anchorage Hillside,Alaska,1070,-149.66683,61.114830000000005,POINT (-149.66683 61.11483)
Aneroid Lake #2,Oregon,302,-117.19258,45.21328,POINT (-117.19258 45.21328)
Annie Springs,Oregon,1000,-122.16518,42.87007,POINT (-122.16518 42.87007)
Apishapa,Colorado,303,-105.06748999999999,37.33062,POINT (-105.06749 37.33062)
Arapaho Ridge,Colorado,1030,-106.38141999999999,40.35098,POINT (-106.38142 40.35098)
Arbuckle Mtn,Oregon,304,-119.25392,45.19085,POINT (-119.25392 45.19085)
Atlanta Summit,Idaho,306,-115.23907,43.7569,POINT (-115.23907 43.7569)
Azure,British Columbia,1E08P,-119.71667,52.583330000000004,POINT (-119.71667 52.58333)
Badger Pass,Montana,307,-113.02317,48.13088,POINT (-113.02317 48.13088)
Baker Butte,Arizona,308,-111.40643,34.4566,POINT (-111.40643 34.4566)
Baker Butte Smt,Arizona,1140,-111.38271999999999,34.45547,POINT (-111.38272 34.45547)
Bald Mtn.,Wyoming,309,-107.84442,44.8007,POINT (-107.84442 44.8007)
Baldy,Arizona,310,-109.50344,33.97883,POINT (-109.50344 33.97883)
Banfield Mountain,Montana,311,-115.44573000000001,48.5712,POINT (-115.44573 48.5712)
Banner Summit,Idaho,312,-115.23447,44.30342,POINT (-115.23447 44.30342)
Bar M,Arizona,1212,-111.60503,34.86136,POINT (-111.60503 34.86136)
Barker Lakes,Montana,313,-113.13038,46.09713,POINT (-113.13038 46.09713)
Barkerville,British Columbia,1A03P,-121.48333000000001,53.05,POINT (-121.48333 53.05)
Barnes Creek,British Columbia,2B06P,-118.35,50.06667,POINT (-118.35 50.06667)
Base Camp,Wyoming,314,-110.44543999999999,43.94019,POINT (-110.44544 43.94019)
Basin Creek,Montana,315,-112.52046999999999,45.79737,POINT (-112.52047 45.79737)
Bateman,New Mexico,316,-106.32128999999999,36.512159999999994,POINT (-106.32129 36.51215999999999)
Battle Mountain,Wyoming,317,-107.26608999999999,41.05413,POINT (-107.26609 41.05413)
Beach Meadows,California,BCH,-118.29299999999999,36.126999999999995,POINT (-118.293 36.127)
