Name,ID,Elevation_ft,Latitude,Longitude,HUC
Adin Mtn,"301	",6190,41.23583,-120.79192,"180200021403	"
Agnew Pass,"AGP	",9450,37.724,-119.143,"180400060401	"
Agua Canyon,"907	",8900,37.52217,-112.27118,"160300020301	"
Aiken Lake,"4A30P	",3481,56.43333,-125.73333,"	"
Albro Lake,"916	",8300,45.59723,-111.95902,"100200050701	"
Alexander Lake,"1267	",160,61.74967,-150.88967,"190205051106	"
Alpha,"ALP	",7600,38.805,-120.215,"180201290204	"
Alpine Meadows,"908	",3500,47.77957,-121.69847,"171100100501	"
American Creek,"1189	",1050,64.78969,-141.23376,"190705050504	"
Anchor River Divide,"1062	",1653,59.85972,-151.315,"190203010701	"
Anchorage Hillside,"1070	",2080,61.11483,-149.66683,"190204010601	"
Aneroid Lake #2,"302	",7400,45.21328,-117.19258,"170601050101	"
Annie Springs,"1000	",6010,42.87007,-122.16518,"180102030101	"
Apishapa,"303	",10000,37.33062,-105.06749,"110200060406	"
Arapaho Ridge,"1030	",10960,40.35098,-106.38142,"140100010604	"
Arbuckle Mtn,"304	",5770,45.19085,-119.25392,"170702020604	"
Atlanta Summit,"306	",7580,43.7569,-115.23907,"170501110204	"
Azure,"1E08P	",5331,52.58333,-119.71667,"	"
Badger Pass,"307	",6900,48.13088,-113.02317,"100302010201	"
Baker Butte,"308	",7300,34.4566,-111.40643,"150602030206	"
Baker Butte Smt,"1140	",7700,34.45547,-111.38272,"150602030103	"
Bald Mtn.,"309	",9380,44.8007,-107.84442,"100800100501	"
Baldy,"310	",9125,33.97883,-109.50344,"150200010203	"
Banfield Mountain,"311	",5600,48.5712,-115.44573,"170101011202	"
Banner Summit,"312	",7040,44.30342,-115.23447,"170501200202	"
Bar M,"1212	",6393,34.86136,-111.60503,"150602020601	"
Barker Lakes,"313	",8250,46.09713,-113.13038,"170102010304	"
Barkerville,"1A03P	",4865,53.05,-121.48333,"	"
Barnes Creek,"2B06P	",5233,50.06667,-118.35,"170200010305	"
Base Camp,"314	",7060,43.94019,-110.44544,"170401010304	"
Basin Creek,"315	",7180,45.79737,-112.52047,"170102010201	"
Bateman,"316	",9300,36.51216,-106.32129,"130201020901	"
Battle Mountain,"317	",7440,41.05413,-107.26609,"140500030109	"
Beach Meadows,"BCH	",7650,36.127,-118.293,"180300010403	"
Beagle Springs,"318	",8850,44.47147,-112.98191,"100200010501	"
Bear Basin,"319	",5350,44.95222,-116.14293,"170602100104	"
Bear Canyon,"320	",7900,43.74367,-113.93797,"170402180101	"
Bear Creek,"321	",8040,41.83384,-115.45278,"170501020301	"
Bear Grass,"1166	",4720,44.3253,-122.0938,"170900040203	"
Bear Lake,"322	",9500,40.31118,-105.64483,"101900060201	"
Bear Mountain,"323	",5400,48.30577,-116.07448,"170102131202	"
Bear River,"1061	",9080,40.06153,-107.00955,"140500010102	"
Bear River RS,"992	",8777,40.8852,-110.8277,"160101010106	"
Bear Saddle,"324	",6180,44.60533,-116.98097,"170501241001	"
Bear Trap Meadow,"325	",8200,43.88743,-107.06135,"100902010205	"
Beartooth Lake,"326	",9360,44.94307,-109.56743,"100700060206	"
Beartown,"327	",11600,37.71409,-107.51212,"130100010104	"
Beaver Ck Village,"1041	",8500,39.59917,-106.51142,"140100030301	"
Beaver Creek,"328	",7850,44.94966,-111.35852,"100200070402	"
Beaver Dams,"329	",7990,39.13683,-111.55813,"160300040402	"
Beaver Divide,"330	",8280,40.61233,-111.09782,"160202030105	"
Beaver Head,"902	",7990,33.69144,-109.21657,"150601010107	"
Beaver Pass,"990	",3630,48.8793,-121.2555,"171100050605	"
Beaver Reservoir,"331	",5150,45.14532,-118.219,"170601040301	"
Beaver Spring,"1143	",9200,36.32678,-109.05711,"140802040401	"
Ben Lomond Peak,"332	",7689,41.37603,-111.94405,"160201020302	"
Ben Lomond Trail,"333	",5972,41.38291,-111.92103,"160201020302	"
Berry Creek,"334	",9377,39.31917,-114.62278,"160600081301	"
Berthoud Summit,"335	",11300,39.80392,-105.77789,"140100010202	"
Bettles Field,"1182	",640,66.91667,-151.53333,"190901012604	"
Bevans Cabin,"1214	",6520,40.46182,-112.25233,"160203040401	"
Big Bend,"336	",6898,41.76168,-115.6931,"170501040104	"
Big Creek Sum,"337	",8685,39.29148,-117.11506,"160401070303	"
Big Creek Summit,"338	",6560,44.62621,-115.79561,"170602080402	"
Big Flat,"339	",10349,38.30183,-112.35672,"160300070202	"
Big Flat,"BFL	",5100,41.08,-122.942,"180102110102	"
Big Goose,"931	",7990,44.57924,-107.20068,"100901010103	"
Big Meadow,"340	",8235,39.455,-119.9422,"160501020505	"
Big Meadows,"BIM	",7600,36.717,-118.842,"180300100403	"
Big Pine Creek,"BGP	",9800,37.128,-118.475,"180901020709	"
Big Red Mountain,"341	",6050,42.05257,-122.85487,"171003090301	"
Big Sandy Opening,"342	",9080,42.6458,-109.25965,"140401040101	"
Bigelow Camp,"343	",5130,42.07875,-123.34393,"171003090105	"
Billie Creek Divide,"344	",5280,42.40717,-122.26617,"180102030201	"
Bird Creek,"1155	",7537,39.46138,-114.64863,"160600081304	"
