#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 952: Upper Chena, AK
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Minimum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Average  Value       None           Day                N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Chena (952) 
# Alaska  SNOTEL Site - 2850 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Feb 21, 2019 7:57:41 PM GMT-08:00
#
Water Year,Day,Oct,Oct,Oct,Nov,Nov,Nov,Dec,Dec,Dec,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun,Jul,Jul,Jul,Aug,Aug,Aug,Sep,Sep,Sep
,,Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF),Air Temperature Minimum (degF),Air Temperature Maximum (degF),Air Temperature Average (degF)
1987,01,,,,,,,,,,,,,,,,,,,,,,27,43,34,37,68,54,43,59,52,41,64,50,27,52,39
1987,02,,,,,,,,,,,,,,,,,,,,,,21,30,27,37,61,52,52,66,57,41,66,54,34,50,43
1987,03,,,,,,,,,,,,,,,,,,,,,,18,34,27,37,54,45,48,72,61,45,68,55,37,59,46
1987,04,,,,,,,,,,,,,,,,,,,,,,14,39,28,37,57,48,41,73,61,45,68,55,39,61,50
1987,05,,,,,,,,,,,,,,,,,,,,,,18,46,32,34,63,50,45,64,57,43,66,54,23,61,41
1987,06,,,,,,,,,,,,,,,,,,,,,,27,54,36,36,68,52,41,63,52,43,59,48,30,68,46
1987,07,,,,,,,,,,,,,,,,,,,,,,32,54,41,32,66,52,37,68,52,39,48,45,34,68,52
1987,08,,,,,,,,,,,,,,,,,,,,,,9,41,25,41,66,54,46,61,52,45,54,48,28,36,32
1987,09,,,,,,,,,,,,,,,,,,,,,,7,37,23,36,55,45,43,61,50,37,63,50,21,41,32
1987,10,,,,,,,,,,,,,,,,,,,,,,10,36,25,32,55,43,39,64,52,36,61,48,30,41,34
1987,11,,,,,,,,,,,,,,,,,,,,,,16,32,25,32,61,46,45,61,52,43,64,54,27,37,32
1987,12,,,,,,,,,,,,,,,,,,,,,,7,45,30,37,61,46,45,64,52,41,68,54,27,39,32
1987,13,,,,,,,,,,,,,,,,,,,,,,28,43,34,37,54,43,45,64,52,48,61,54,19,30,27
1987,14,,,,,,,,,,,,,,,,,,,,,,25,41,34,37,54,45,43,66,55,37,61,50,16,36,27
1987,15,,,,,,,,,,,,,,,,,,,,,,23,43,32,37,52,45,46,64,54,43,55,48,19,46,32
1987,16,,,,,,,,,,,,,,,,,,,,,,28,46,37,37,57,45,43,70,57,43,57,50,32,45,36
1987,17,,,,,,,,,,,,,,,,,,,,,,23,54,37,34,63,48,45,59,52,41,55,46,32,45,36
1987,18,,,,,,,,,,,,,,,,,,,,,,30,63,45,32,59,45,46,70,59,39,50,45,30,54,37
1987,19,,,,,,,,,,,,,,,,,,,,,,32,59,45,32,59,46,48,68,54,39,43,41,32,43,37
1987,20,,,,,,,,,,,,,,,,,,,,,,36,63,50,36,63,52,45,73,59,32,55,41,30,46,37
1987,21,,,,,,,,,,,,,,,,,,,,,,37,64,50,46,82,66,43,63,48,32,55,41,32,48,36
1987,22,,,,,,,,,,,,,,,,,,,,,,36,63,50,48,81,68,39,61,50,32,59,46,30,54,37
1987,23,,,,,,,,,,,,,,,,,,,,,,32,61,45,39,75,57,46,48,46,41,66,54,30,50,39
1987,24,,,,,,,,,,,,,,,,,,,,,,30,50,41,46,73,57,45,55,48,45,66,54,30,48,37
1987,25,,,,,,,,,,,,,,,,,,,,,,28,59,43,41,50,45,37,57,48,43,68,54,32,50,37
1987,26,,,,,,,,,,,,,,,,,,,,,,36,57,46,37,59,48,34,61,50,37,64,48,30,36,32
1987,27,,,,,,,,,,,,,,,,,,,,,,32,54,43,37,64,52,39,72,55,34,61,46,28,46,34
1987,28,,,,,,,,,,,,,,,,,,,,,,32,48,39,37,70,54,34,63,50,36,59,45,32,55,43
1987,29,,,,,,,,,,,,,,,,,,,,,,30,61,45,43,81,63,32,61,46,19,59,39,28,43,34
1987,30,,,,,,,,,,,,,,,,,,,30,52,36,39,63,43,52,68,59,43,54,48,19,45,30,16,46,32
